test
test 2
test 3
model: 1000, 0.5, 32 begin
Epoch 1: train loss 4.202749729156494, test loss 4.324642658233643, adv 0.012647743813682666, acc 0.046260917030567686
Epoch 2: train loss 4.472129821777344, test loss 4.3077006340026855, adv -0.00281033478893733, acc 0.046260917030567686
Epoch 3: train loss 4.197460174560547, test loss 4.307679653167725, adv 0.007899563318777336, acc 0.046260917030567686
Epoch 4: train loss 4.197769641876221, test loss 4.3101630210876465, adv 0.007899563318777336, acc 0.046260917030567686
Epoch 5: train loss 4.275807857513428, test loss 4.306005477905273, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 6: train loss 4.383235454559326, test loss 4.305170059204102, adv -0.00281033478893733, acc 0.046260917030567686
Epoch 7: train loss 4.12473201751709, test loss 4.305532932281494, adv 0.007899563318777336, acc 0.046260917030567686
Epoch 8: train loss 4.344217777252197, test loss 4.306011199951172, adv 0.0030125909752547475, acc 0.046260917030567686
Epoch 9: train loss 4.589510917663574, test loss 4.307265758514404, adv -0.0007954876273653655, acc 0.046260917030567686
Epoch 10: train loss 3.946716785430908, test loss 4.305992603302002, adv 0.011932314410480316, acc 0.046260917030567686
Epoch 11: train loss 4.270978927612305, test loss 4.306126594543457, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 12: train loss 4.407121181488037, test loss 4.306829452514648, adv -0.008505094614264963, acc 0.046260917030567686
Epoch 13: train loss 4.151760101318359, test loss 4.307934761047363, adv 0.008003202328966508, acc 0.046260917030567686
Epoch 14: train loss 4.322004795074463, test loss 4.308488368988037, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 15: train loss 4.038784503936768, test loss 4.30687141418457, adv 0.012647743813682666, acc 0.046260917030567686
Epoch 16: train loss 3.790350914001465, test loss 4.306756496429443, adv 0.01905764192139736, acc 0.046260917030567686
Epoch 17: train loss 4.245882987976074, test loss 4.306463718414307, adv 0.008003202328966508, acc 0.046260917030567686
Epoch 18: train loss 4.506895542144775, test loss 4.306252956390381, adv -0.008505094614264963, acc 0.046260917030567686
Epoch 19: train loss 4.327310562133789, test loss 4.307266712188721, adv 0.0030125909752547475, acc 0.046260917030567686
model: 1000, 2, 32 begin
Epoch 0: train loss 4.541428089141846, test loss 4.537903308868408, adv 0.005571542940320251, acc 0.03384279475982533
Epoch 1: train loss 4.526525974273682, test loss 4.461062431335449, adv -0.0063313682678312055, acc 0.046260917030567686
Epoch 2: train loss 4.321127891540527, test loss 4.351038455963135, adv -0.004362299854439644, acc 0.05717794759825327
Epoch 3: train loss 4.421790599822998, test loss 4.299871921539307, adv -0.0017683406113536693, acc 0.058542576419213975
Epoch 4: train loss 4.186907768249512, test loss 4.364418983459473, adv -0.0048622270742358364, acc 0.038073144104803495
Epoch 5: train loss 4.410832405090332, test loss 4.419313907623291, adv 0.011402037845706037, acc 0.027019650655021835
Epoch 6: train loss 4.332897186279297, test loss 4.302097320556641, adv -0.009589592430858773, acc 0.05240174672489083
Epoch 7: train loss 4.3736419677734375, test loss 4.455199718475342, adv 0.013607132459970861, acc 0.046260917030567686
Epoch 8: train loss 4.374540328979492, test loss 4.42769718170166, adv 0.012846943231441033, acc 0.046260917030567686
Epoch 9: train loss 4.360753536224365, test loss 4.392301082611084, adv 0.012846943231441033, acc 0.046260917030567686
Epoch 10: train loss 4.365760803222656, test loss 4.391824245452881, adv 0.012846943231441033, acc 0.046260917030567686
Epoch 11: train loss 4.3189520835876465, test loss 4.376094341278076, adv 0.012846943231441033, acc 0.046260917030567686
Epoch 12: train loss 4.492001533508301, test loss 4.363506317138672, adv 0.0020682678311498837, acc 0.046260917030567686
Epoch 13: train loss 4.449469089508057, test loss 4.3535475730896, adv 0.0040062590975255, acc 0.046260917030567686
Epoch 14: train loss 4.274973392486572, test loss 4.345568656921387, adv 0.012297307132459967, acc 0.046260917030567686
Epoch 15: train loss 4.2999587059021, test loss 4.339120864868164, adv 0.012647743813682666, acc 0.046260917030567686
Epoch 16: train loss 4.066370964050293, test loss 4.333857536315918, adv 0.018297452692867533, acc 0.046260917030567686
Epoch 17: train loss 4.3597331047058105, test loss 4.329527854919434, adv 0.007899563318777336, acc 0.046260917030567686
Epoch 18: train loss 4.29888391494751, test loss 4.325977325439453, adv 0.014374308588064044, acc 0.046260917030567686
Epoch 19: train loss 4.291036128997803, test loss 4.30677604675293, adv -0.006382896652110559, acc 0.05267467248908297
model: 1000, 5, 32 begin
Epoch 0: train loss 4.577207088470459, test loss 4.5674824714660645, adv 0.0005901746724890633, acc 0.046260917030567686
Epoch 1: train loss 4.582399368286133, test loss 4.563591480255127, adv 0.0008436681222706577, acc 0.046260917030567686
Epoch 2: train loss 4.539749622344971, test loss 4.544066905975342, adv 0.003806477438136835, acc 0.046260917030567686
Epoch 3: train loss 4.521705627441406, test loss 4.525739669799805, adv 0.005091193595342047, acc 0.046260917030567686
Epoch 4: train loss 4.513886451721191, test loss 4.508767127990723, adv 0.00469599708879187, acc 0.046260917030567686
Epoch 5: train loss 4.380710601806641, test loss 4.454066276550293, adv 0.013242139737991265, acc 0.046260917030567686
Epoch 6: train loss 4.432806015014648, test loss 4.373891353607178, adv 0.005331441048034902, acc 0.046260917030567686
Epoch 7: train loss 4.429584980010986, test loss 4.4684529304504395, adv 0.012481950509461437, acc 0.046260917030567686
Epoch 8: train loss 4.446698188781738, test loss 4.38238525390625, adv 0.0040062590975255, acc 0.046260917030567686
Epoch 9: train loss 4.322565078735352, test loss 4.345689296722412, adv 0.007899563318777336, acc 0.046260917030567686
Epoch 10: train loss 4.278307914733887, test loss 4.354916572570801, adv 0.01228275109170307, acc 0.046260917030567686
Epoch 11: train loss 4.345764636993408, test loss 4.372763633728027, adv 0.012647743813682666, acc 0.046260917030567686
Epoch 12: train loss 4.381401538848877, test loss 4.372719764709473, adv 0.006172998544395902, acc 0.046260917030567686
Epoch 13: train loss 4.399071216583252, test loss 4.392880916595459, adv 0.006172998544395902, acc 0.046260917030567686
Epoch 14: train loss 4.475844383239746, test loss 4.386913776397705, adv 0.0040062590975255, acc 0.046260917030567686
Epoch 15: train loss 4.507781028747559, test loss 4.367713928222656, adv -0.0021375545851527455, acc 0.046260917030567686
Epoch 16: train loss 4.323742866516113, test loss 4.345001220703125, adv 0.006172998544395902, acc 0.046260917030567686
Epoch 17: train loss 4.260987758636475, test loss 4.322998046875, adv 0.012647743813682666, acc 0.046260917030567686
Epoch 18: train loss 4.437643527984619, test loss 4.317239284515381, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 19: train loss 4.407199382781982, test loss 4.327749729156494, adv 0.006876637554585119, acc 0.046260917030567686
model: 10000, 0.5, 32 begin
Epoch 0: train loss 4.482367515563965, test loss 4.222267150878906, adv -0.006213755458515324, acc 0.06195414847161572
Epoch 1: train loss 3.9972870349884033, test loss 3.9895949363708496, adv 0.008751018922852905, acc 0.0833788209606987
Epoch 2: train loss 3.6586551666259766, test loss 3.761584520339966, adv 0.008832241630276572, acc 0.11421943231441048
Epoch 3: train loss 3.6926052570343018, test loss 3.581977128982544, adv 0.013036026200873407, acc 0.1435589519650655
Epoch 4: train loss 3.3205223083496094, test loss 3.2568459510803223, adv 0.0058292576419213815, acc 0.19459606986899564
Epoch 5: train loss 2.793710231781006, test loss 2.9732210636138916, adv 0.0026288937409024715, acc 0.2590065502183406
Epoch 6: train loss 2.765902280807495, test loss 2.6985108852386475, adv 0.013379330422125135, acc 0.31809497816593885
Epoch 7: train loss 2.276695966720581, test loss 2.541501760482788, adv 0.008159243085880619, acc 0.3441593886462882
Epoch 8: train loss 2.2103171348571777, test loss 2.3820457458496094, adv 0.01055982532751093, acc 0.38195960698689957
Epoch 9: train loss 2.207106590270996, test loss 2.241356611251831, adv 0.015209388646288291, acc 0.4088427947598253
Epoch 10: train loss 2.4724154472351074, test loss 2.158133029937744, adv 0.025683988355167386, acc 0.43149563318777295
Epoch 11: train loss 1.9997299909591675, test loss 2.056166410446167, adv 0.019639737991266393, acc 0.46356441048034935
Epoch 12: train loss 1.980165719985962, test loss 2.013340473175049, adv 0.02547816593886465, acc 0.466839519650655
Epoch 13: train loss 1.5365015268325806, test loss 1.9564770460128784, adv 0.01757787481804951, acc 0.48840065502183405
Epoch 14: train loss 1.5613635778427124, test loss 1.8607845306396484, adv 0.02562401746724896, acc 0.5111899563318777
Epoch 15: train loss 1.3596665859222412, test loss 1.9218621253967285, adv 0.026673944687045148, acc 0.4897652838427948
Epoch 16: train loss 1.3397877216339111, test loss 1.8295409679412842, adv 0.031611935953420656, acc 0.5129639737991266
Epoch 17: train loss 1.262306571006775, test loss 1.7325173616409302, adv 0.030959970887918464, acc 0.5278384279475983
Epoch 18: train loss 1.416218876838684, test loss 1.7163159847259521, adv 0.036489010189228455, acc 0.5360262008733624
Epoch 19: train loss 1.8194751739501953, test loss 1.694201111793518, adv 0.04130429403202329, acc 0.5401200873362445
model: 10000, 1, 32 begin
Epoch 0: train loss 4.535517692565918, test loss 4.311438083648682, adv -0.0008723435225618248, acc 0.046260917030567686
Epoch 1: train loss 4.271626949310303, test loss 4.30623197555542, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 2: train loss 4.409385681152344, test loss 4.306224822998047, adv -0.008505094614264963, acc 0.046260917030567686
Epoch 3: train loss 4.24726676940918, test loss 4.306272506713867, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 4: train loss 4.643967151641846, test loss 4.306170463562012, adv -0.001061426491994144, acc 0.046260917030567686
Epoch 5: train loss 4.19236421585083, test loss 4.31024694442749, adv 0.0039026200873362726, acc 0.046260917030567686
Epoch 6: train loss 4.4318695068359375, test loss 4.309123992919922, adv -0.005131659388646348, acc 0.046260917030567686
Epoch 7: train loss 4.038092136383057, test loss 4.156876564025879, adv 0.017306477438136847, acc 0.06645742358078603
Epoch 8: train loss 3.670653820037842, test loss 4.017956256866455, adv 0.018821688500727796, acc 0.07328056768558952
Epoch 9: train loss 3.4163923263549805, test loss 3.924239158630371, adv 0.016055531295487646, acc 0.08447052401746726
Epoch 10: train loss 3.655681610107422, test loss 3.840240478515625, adv 0.012708515283842758, acc 0.09497816593886463
Epoch 11: train loss 3.263171672821045, test loss 3.6975491046905518, adv 0.01165422125181953, acc 0.12022379912663755
Epoch 12: train loss 3.689288377761841, test loss 3.613783121109009, adv 0.013216375545851533, acc 0.11899563318777293
Epoch 13: train loss 3.6589760780334473, test loss 3.557016134262085, adv 0.013431295487627393, acc 0.1408296943231441
Epoch 14: train loss 3.4495646953582764, test loss 3.4914472103118896, adv 0.01698260553129549, acc 0.14328602620087336
Epoch 15: train loss 3.3555963039398193, test loss 3.4225804805755615, adv 0.015431004366812218, acc 0.15147379912663755
Epoch 16: train loss 3.1489787101745605, test loss 3.4589107036590576, adv 0.013161644832605512, acc 0.1535207423580786
Epoch 17: train loss 3.3617196083068848, test loss 3.305035352706909, adv 0.009966011644832629, acc 0.19077510917030568
Epoch 18: train loss 3.161381721496582, test loss 3.2272701263427734, adv 0.01365647743813686, acc 0.19923580786026202
Epoch 19: train loss 2.824953079223633, test loss 3.125082492828369, adv 0.013908879184861722, acc 0.22939410480349345
model: 10000, 2, 32 begin
Epoch 0: train loss 4.390810489654541, test loss 4.301355361938477, adv 0.004265647743813716, acc 0.046260917030567686
Epoch 1: train loss 4.34890079498291, test loss 4.309398651123047, adv -0.00019017467248916287, acc 0.046260917030567686
Epoch 2: train loss 4.21359920501709, test loss 4.304373264312744, adv 0.003797379912663712, acc 0.046260917030567686
Epoch 3: train loss 4.306727409362793, test loss 4.304348468780518, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 4: train loss 4.462900638580322, test loss 4.30450439453125, adv -0.008505094614264963, acc 0.046260917030567686
Epoch 5: train loss 4.18940544128418, test loss 4.298518180847168, adv 0.008135516739446846, acc 0.046260917030567686
Epoch 6: train loss 4.363806247711182, test loss 4.292395114898682, adv -0.001893158660844163, acc 0.046260917030567686
Epoch 7: train loss 4.236028671264648, test loss 4.282421588897705, adv 0.00012911208151389353, acc 0.058815502183406115
Epoch 8: train loss 4.168973445892334, test loss 4.267153263092041, adv 0.009169868995633212, acc 0.06209061135371179
Epoch 9: train loss 4.357186317443848, test loss 4.224041938781738, adv -0.002487918486171803, acc 0.06782205240174673
Epoch 10: train loss 4.172128200531006, test loss 4.181319236755371, adv 0.0034569141193595, acc 0.06263646288209607
Epoch 11: train loss 4.395625114440918, test loss 4.193319320678711, adv -0.0036156477438137324, acc 0.0511735807860262
Epoch 12: train loss 4.049510478973389, test loss 4.122242450714111, adv 0.005496288209607014, acc 0.07737445414847162
Epoch 13: train loss 4.270575523376465, test loss 4.311473369598389, adv 0.012253420669577908, acc 0.058815502183406115
Epoch 14: train loss 3.9985580444335938, test loss 4.024393558502197, adv 0.005123144104803523, acc 0.0896561135371179
Epoch 15: train loss 4.000167369842529, test loss 3.9685866832733154, adv 0.004102256186317321, acc 0.09579694323144104
Epoch 16: train loss 4.236702919006348, test loss 3.9473469257354736, adv -0.004024017467248897, acc 0.10562227074235808
Epoch 17: train loss 4.008108139038086, test loss 3.9964792728424072, adv 0.01977248908296947, acc 0.10493995633187773
Epoch 18: train loss 3.7850234508514404, test loss 3.8456499576568604, adv 0.0042259825327510825, acc 0.1136735807860262
Epoch 19: train loss 3.699012041091919, test loss 3.7802579402923584, adv 0.00015902474526929833, acc 0.11121724890829694
model: 10000, 5, 32 begin
Epoch 0: train loss 4.493124008178711, test loss 4.522776126861572, adv 0.013242139737991265, acc 0.046260917030567686
Epoch 1: train loss 4.477845191955566, test loss 4.4673075675964355, adv 0.012297307132459967, acc 0.046260917030567686
Epoch 2: train loss 4.291383743286133, test loss 4.394402503967285, adv 0.012481950509461437, acc 0.046260917030567686
Epoch 3: train loss 4.201279640197754, test loss 4.338680267333984, adv 0.012481950509461437, acc 0.046260917030567686
Epoch 4: train loss 4.269044876098633, test loss 4.31289005279541, adv 0.0076870451237263104, acc 0.046260917030567686
Epoch 5: train loss 4.375850677490234, test loss 4.305819988250732, adv -0.004084497816593813, acc 0.046260917030567686
Epoch 6: train loss 4.476434230804443, test loss 4.304784297943115, adv -0.005131659388646348, acc 0.046260917030567686
Epoch 7: train loss 4.286386966705322, test loss 4.299532413482666, adv -0.00467234352256185, acc 0.046533842794759826
Epoch 8: train loss 4.217033386230469, test loss 4.3036208152771, adv 0.005132823871906889, acc 0.046260917030567686
Epoch 9: train loss 4.043384552001953, test loss 4.270572185516357, adv 0.01163005822416302, acc 0.06986899563318777
Epoch 10: train loss 4.310059070587158, test loss 4.2513227462768555, adv 0.0005820960698689204, acc 0.048034934497816595
Epoch 11: train loss 4.2555251121521, test loss 4.2140727043151855, adv 0.004144104803493476, acc 0.053902838427947596
Epoch 12: train loss 4.104499340057373, test loss 4.176828384399414, adv 0.00024927219796216926, acc 0.0656386462882096
Epoch 13: train loss 4.20060396194458, test loss 4.086030960083008, adv -0.004581004366812191, acc 0.09129366812227074
Epoch 14: train loss 4.357573986053467, test loss 4.0513787269592285, adv -0.004020232896652098, acc 0.0947052401746725
Epoch 15: train loss 3.862464427947998, test loss 4.013182163238525, adv -0.0023923580786026633, acc 0.09443231441048035
Epoch 16: train loss 4.279912948608398, test loss 4.030141353607178, adv -0.0036188500727802886, acc 0.08256004366812227
Epoch 17: train loss 4.020565509796143, test loss 3.964353084564209, adv -0.006015356622998569, acc 0.09743449781659388
Epoch 18: train loss 3.937574863433838, test loss 3.9296927452087402, adv -0.0061210334788937, acc 0.09593340611353712
Epoch 19: train loss 4.233384132385254, test loss 3.9516491889953613, adv -0.003304512372634627, acc 0.09566048034934498
model: 50000, 0.5, 32 begin
Epoch 0: train loss 4.163722038269043, test loss 4.313300609588623, adv 0.008003202328966508, acc 0.033706331877729256
Epoch 1: train loss 3.973102331161499, test loss 4.166472434997559, adv 0.013028893740902492, acc 0.06809497816593886
Epoch 2: train loss 3.400609016418457, test loss 3.835371494293213, adv 0.013486026200873358, acc 0.10616812227074236
Epoch 3: train loss 3.4187982082366943, test loss 3.3885486125946045, adv 0.007797234352256155, acc 0.22570960698689957
Epoch 4: train loss 2.7748093605041504, test loss 2.7874915599823, adv -0.004103930131004352, acc 0.30594978165938863
Epoch 5: train loss 2.0022830963134766, test loss 2.5004782676696777, adv 0.0033247452692867774, acc 0.36804039301310043
Epoch 6: train loss 2.0592637062072754, test loss 2.17724871635437, adv 0.012618558951965064, acc 0.4390010917030568
Epoch 7: train loss 1.4929207563400269, test loss 1.9841862916946411, adv 0.012804876273653565, acc 0.4795305676855895
Epoch 8: train loss 1.6146061420440674, test loss 1.8184067010879517, adv 0.022839810771470126, acc 0.5169213973799127
Epoch 9: train loss 0.9547299742698669, test loss 1.7313040494918823, adv 0.010557569141193546, acc 0.5264737991266376
Epoch 10: train loss 1.39497709274292, test loss 1.7217965126037598, adv 0.03737634643376997, acc 0.5281113537117904
Epoch 11: train loss 1.0859153270721436, test loss 1.631215214729309, adv 0.04361259097525477, acc 0.5399836244541485
Epoch 12: train loss 1.9275627136230469, test loss 1.5329793691635132, adv 0.05441411935953422, acc 0.5736899563318777
Epoch 13: train loss 1.044729471206665, test loss 1.5242111682891846, adv 0.0503779475982532, acc 0.5798307860262009
Epoch 14: train loss 1.3221321105957031, test loss 1.4926005601882935, adv 0.05718151382823877, acc 0.582014192139738
Epoch 15: train loss 1.0755987167358398, test loss 1.5387099981307983, adv 0.05714883551673944, acc 0.579967248908297
Epoch 16: train loss 1.142468810081482, test loss 1.4586267471313477, adv 0.055290029112081585, acc 0.5874727074235808
Epoch 17: train loss 1.2990468740463257, test loss 1.5373170375823975, adv 0.06503660844250359, acc 0.5828329694323144
Epoch 18: train loss 1.145991563796997, test loss 1.4684494733810425, adv 0.07008748180494906, acc 0.5957969432314411
Epoch 19: train loss 0.9537354707717896, test loss 1.462511658668518, adv 0.06993537117903936, acc 0.5998908296943232
model: 50000, 1, 32 begin
Epoch 0: train loss 4.197378635406494, test loss 4.3037190437316895, adv 0.005132823871906889, acc 0.046260917030567686
Epoch 1: train loss 4.370688438415527, test loss 4.294887542724609, adv -0.0008723435225618248, acc 0.046260917030567686
Epoch 2: train loss 4.075158596038818, test loss 4.25189208984375, adv 0.013185371179039285, acc 0.0453056768558952
Epoch 3: train loss 4.072885990142822, test loss 4.1606974601745605, adv 0.006690320232896618, acc 0.049808951965065504
Epoch 4: train loss 3.7207746505737305, test loss 4.034955978393555, adv 0.010335007278020392, acc 0.07628275109170306
Epoch 5: train loss 3.97519588470459, test loss 3.926718235015869, adv 0.0002222707423580883, acc 0.10548580786026202
Epoch 6: train loss 3.779451608657837, test loss 3.8242390155792236, adv 0.008069068413391556, acc 0.10971615720524018
Epoch 7: train loss 3.67480206489563, test loss 3.7475693225860596, adv 0.012192940320232881, acc 0.1322325327510917
Epoch 8: train loss 3.6776528358459473, test loss 3.611647367477417, adv 0.004535080058224228, acc 0.13441593886462883
Epoch 9: train loss 3.0936009883880615, test loss 3.481840133666992, adv 0.008292503639010185, acc 0.13468886462882096
Epoch 10: train loss 3.5772533416748047, test loss 3.3884732723236084, adv 0.0043663755458515086, acc 0.14956331877729256
Epoch 11: train loss 2.8656601905822754, test loss 3.3311851024627686, adv 0.007381877729257635, acc 0.17385371179039302
Epoch 12: train loss 3.3745028972625732, test loss 3.374875545501709, adv 0.01123238719068409, acc 0.1716703056768559
Epoch 13: train loss 3.322645425796509, test loss 3.2350871562957764, adv 0.00859919941775833, acc 0.19159388646288208
Epoch 14: train loss 3.306434392929077, test loss 3.2488882541656494, adv 0.012822852983988442, acc 0.18176855895196506
Epoch 15: train loss 3.016043186187744, test loss 3.175020456314087, adv 0.008833114992721991, acc 0.20687772925764192
Epoch 16: train loss 2.766780376434326, test loss 3.1589560508728027, adv 0.009089374090247404, acc 0.19173034934497818
Epoch 17: train loss 2.9025983810424805, test loss 3.12449049949646, adv 0.010243886462882101, acc 0.21656659388646288
Epoch 18: train loss 3.336085796356201, test loss 3.0770230293273926, adv 0.012256914119359474, acc 0.23444323144104803
Epoch 19: train loss 2.6072068214416504, test loss 3.0705158710479736, adv -0.0007810043668122213, acc 0.23799126637554585
model: 50000, 2, 32 begin
Epoch 0: train loss 4.223721027374268, test loss 4.307232856750488, adv 0.004501601164483282, acc 0.04694323144104803
Epoch 1: train loss 4.052079677581787, test loss 4.197671890258789, adv 0.003101455604075709, acc 0.06918668122270742
Epoch 2: train loss 4.310239791870117, test loss 4.257478713989258, adv -0.0024149927219796474, acc 0.06877729257641921
Epoch 3: train loss 4.277958869934082, test loss 4.213799476623535, adv -0.002214701601164548, acc 0.09006550218340612
Epoch 4: train loss 4.139622688293457, test loss 3.9802770614624023, adv -0.00564534206695777, acc 0.11312772925764192
Epoch 5: train loss 3.8995301723480225, test loss 3.7675185203552246, adv -0.008709315866084422, acc 0.1318231441048035
Epoch 6: train loss 3.017666816711426, test loss 3.4027719497680664, adv -0.0018469432314410783, acc 0.1851801310043668
Epoch 7: train loss 3.180229902267456, test loss 3.152803659439087, adv -0.0030892285298398936, acc 0.25095524017467247
Epoch 8: train loss 3.417961597442627, test loss 2.9517221450805664, adv 0.0016321688500727793, acc 0.28070414847161573
Epoch 9: train loss 2.994745969772339, test loss 2.784296751022339, adv 0.0007877729257642629, acc 0.3037663755458515
Epoch 10: train loss 2.845532178878784, test loss 2.717191219329834, adv 0.010826637554585128, acc 0.31154475982532753
Epoch 11: train loss 2.548288345336914, test loss 2.7003209590911865, adv 0.0033256914119359493, acc 0.3182314410480349
Epoch 12: train loss 2.9907479286193848, test loss 2.4913885593414307, adv 0.017951892285298365, acc 0.3642194323144105
Epoch 13: train loss 2.283266067504883, test loss 2.583684206008911, adv 0.019523799126637542, acc 0.3586244541484716
Epoch 14: train loss 2.580313205718994, test loss 2.340540647506714, adv 0.024680349344978092, acc 0.392603711790393
Epoch 15: train loss 1.9391834735870361, test loss 2.2765209674835205, adv 0.005810844250363878, acc 0.41020742358078605
Epoch 16: train loss 1.8904703855514526, test loss 2.250239849090576, adv 0.011178457059679736, acc 0.42317139737991266
Epoch 17: train loss 3.528160572052002, test loss 3.066138744354248, adv 0.03685414847161572, acc 0.37172489082969434
Epoch 18: train loss 2.6625070571899414, test loss 2.1221535205841064, adv 0.026026564774381367, acc 0.4485534934497817
Epoch 19: train loss 2.300121307373047, test loss 2.0732004642486572, adv 0.028895414847161516, acc 0.4587882096069869
model: 50000, 5, 32 begin
Epoch 0: train loss 4.466536521911621, test loss 4.487363815307617, adv 0.012297307132459967, acc 0.03889192139737991
Epoch 1: train loss 4.495538234710693, test loss 4.378245830535889, adv 0.003797379912663712, acc 0.046260917030567686
Epoch 2: train loss 4.6249613761901855, test loss 4.312643527984619, adv -0.008505094614264963, acc 0.046260917030567686
Epoch 3: train loss 4.4037346839904785, test loss 4.310915470123291, adv 0.0030125909752547475, acc 0.046260917030567686
Epoch 4: train loss 4.100778102874756, test loss 4.305465221405029, adv 0.014374308588064044, acc 0.046260917030567686
Epoch 5: train loss 4.291410446166992, test loss 4.306459903717041, adv 0.0030125909752547475, acc 0.046260917030567686
Epoch 6: train loss 4.2388105392456055, test loss 4.304982662200928, adv 0.005132823871906889, acc 0.046260917030567686
Epoch 7: train loss 4.2820258140563965, test loss 4.307989120483398, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 8: train loss 4.285593509674072, test loss 4.30619478225708, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 9: train loss 4.262181758880615, test loss 4.306317329406738, adv 0.0040062590975255, acc 0.046260917030567686
Epoch 10: train loss 4.494953155517578, test loss 4.306398868560791, adv -0.008505094614264963, acc 0.046260917030567686
Epoch 11: train loss 4.525275707244873, test loss 4.308444499969482, adv -0.0028816593886463737, acc 0.046260917030567686
Epoch 12: train loss 4.263347148895264, test loss 4.309460163116455, adv -0.00019956331877724054, acc 0.046260917030567686
Epoch 13: train loss 4.358966827392578, test loss 4.309668064117432, adv -0.00281033478893733, acc 0.046260917030567686
Epoch 14: train loss 4.182002544403076, test loss 4.308772563934326, adv 0.008003202328966508, acc 0.046260917030567686
Epoch 15: train loss 4.297471523284912, test loss 4.3086838722229, adv 0.0030125909752547475, acc 0.046260917030567686
Epoch 16: train loss 4.074094772338867, test loss 4.307705402374268, adv 0.008003202328966508, acc 0.046260917030567686
Epoch 17: train loss 4.203829765319824, test loss 4.307075500488281, adv 0.008003202328966508, acc 0.046260917030567686
Epoch 18: train loss 4.14541482925415, test loss 4.309017181396484, adv 0.007899563318777336, acc 0.046260917030567686
Epoch 19: train loss 4.203849792480469, test loss 4.307681083679199, adv 0.008003202328966508, acc 0.046260917030567686
model: 100000, 0.5, 32 begin
Epoch 0: train loss 3.9171478748321533, test loss 3.7362749576568604, adv 0.012418704512372702, acc 0.13195960698689957
Epoch 1: train loss 3.337554454803467, test loss 2.952171564102173, adv 0.00821615720524016, acc 0.28056768558951967
Epoch 2: train loss 2.1640796661376953, test loss 2.515631675720215, adv 0.01783362445414849, acc 0.355485807860262
Epoch 3: train loss 2.21787166595459, test loss 2.1122732162475586, adv 0.028276419213973836, acc 0.4474617903930131
Epoch 4: train loss 1.8533165454864502, test loss 1.8927850723266602, adv 0.029162954876273628, acc 0.5010917030567685
Epoch 5: train loss 1.6622600555419922, test loss 1.750009536743164, adv 0.03932620087336236, acc 0.5311135371179039
