test
test 2
test 3
model: 0, 2, 16 begin
Epoch 18: train loss 5.584088325500488, test loss 5.217050552368164, adv 0.0048403930131004635, acc 0.046260917030567686
Epoch 19: train loss 5.628284454345703, test loss 5.217050552368164, adv 0.004552692867540009, acc 0.046260917030567686
model: 1, 5, 16 begin
Epoch 0: train loss 4.1308135986328125, test loss 4.279263973236084, adv 0.014411280931586612, acc 0.046260917030567686
Epoch 1: train loss 4.099514484405518, test loss 4.233082294464111, adv 0.017360989810771443, acc 0.0511735807860262
Epoch 2: train loss 4.73330545425415, test loss 5.139490127563477, adv 0.0009248908296943248, acc 0.03384279475982533
Epoch 3: train loss 5.889560222625732, test loss 5.366261005401611, adv -0.009156259097525488, acc 0.03384279475982533
Epoch 4: train loss 5.944528579711914, test loss 5.366261005401611, adv -0.009211717612809256, acc 0.03384279475982533
Epoch 5: train loss 6.505040168762207, test loss 5.366261005401611, adv -0.013730203784570572, acc 0.03384279475982533
Epoch 6: train loss 5.439725875854492, test loss 5.366261005401611, adv -0.00538318777292579, acc 0.03384279475982533
Epoch 7: train loss 5.0934882164001465, test loss 5.366261005401611, adv -0.003103202328966548, acc 0.03384279475982533
Epoch 8: train loss 4.808351993560791, test loss 5.366261005401611, adv 0.00014213973799126478, acc 0.03384279475982533
Epoch 9: train loss 5.136586666107178, test loss 5.566808223724365, adv -0.0033733624454148625, acc 0.03384279475982533
Epoch 10: train loss 5.852049827575684, test loss 5.566808223724365, adv -0.005985152838427932, acc 0.03384279475982533
Epoch 11: train loss 5.5963335037231445, test loss 5.566808223724365, adv -0.003686026200873438, acc 0.03384279475982533
Epoch 12: train loss 5.60607385635376, test loss 5.566808223724365, adv -0.0037037845705968353, acc 0.03384279475982533
Epoch 13: train loss 4.53402853012085, test loss 5.566808223724365, adv 0.003590101892285258, acc 0.03384279475982533
Epoch 14: train loss 5.922000885009766, test loss 5.566808223724365, adv -0.006366739446870384, acc 0.03384279475982533
Epoch 15: train loss 4.287321090698242, test loss 5.566808223724365, adv 0.007763245997088775, acc 0.03384279475982533
Epoch 16: train loss 5.08395528793335, test loss 5.566808223724365, adv -0.002499126637554583, acc 0.03384279475982533
Epoch 17: train loss 6.385422229766846, test loss 5.566808223724365, adv -0.012457569141193559, acc 0.03384279475982533
Epoch 18: train loss 6.122159481048584, test loss 5.566808223724365, adv -0.00961775836972345, acc 0.03384279475982533
Epoch 19: train loss 5.380074977874756, test loss 5.566808223724365, adv -0.0032943231441047716, acc 0.03384279475982533
model: 1, 10, 16 begin
Epoch 0: train loss 4.481842994689941, test loss 4.295374870300293, adv 0.0007699417758368909, acc 0.046533842794759826
Epoch 1: train loss 4.0414347648620605, test loss 4.282267093658447, adv 0.01397918486171762, acc 0.05690502183406113
Epoch 2: train loss 11.043619155883789, test loss 11.833321571350098, adv 0.0130289665211063, acc 0.030294759825327512
Epoch 3: train loss 13.633193969726562, test loss 11.833321571350098, adv 0.01314606986899558, acc 0.030294759825327512
Epoch 4: train loss 9.9631986618042, test loss 12.874848365783691, adv 0.016295050946142642, acc 0.034934497816593885
Epoch 5: train loss 11.350678443908691, test loss 12.874848365783691, adv 0.01403493449781662, acc 0.034934497816593885
Epoch 6: train loss 13.628954887390137, test loss 12.874848365783691, adv 0.01531273653566223, acc 0.034934497816593885
Epoch 7: train loss 9.784662246704102, test loss 12.874848365783691, adv 0.01724737991266373, acc 0.034934497816593885
Epoch 8: train loss 15.137374877929688, test loss 12.874848365783691, adv 0.01384061135371173, acc 0.034934497816593885
Epoch 9: train loss 10.912792205810547, test loss 12.874848365783691, adv 0.01754082969432319, acc 0.034934497816593885
Epoch 10: train loss 17.2536678314209, test loss 12.874848365783691, adv 0.014642721979621576, acc 0.034934497816593885
Epoch 11: train loss 10.577874183654785, test loss 12.874848365783691, adv 0.016950582241630263, acc 0.034934497816593885
Epoch 12: train loss 10.950923919677734, test loss 12.874848365783691, adv 0.01757307132459973, acc 0.034934497816593885
Epoch 13: train loss 11.140877723693848, test loss 12.874848365783691, adv 0.017637409024745254, acc 0.034934497816593885
Epoch 14: train loss 10.031588554382324, test loss 12.874848365783691, adv 0.01657831149927219, acc 0.034934497816593885
Epoch 15: train loss 12.819268226623535, test loss 12.874848365783691, adv 0.011074890829694262, acc 0.034934497816593885
Epoch 16: train loss 12.496036529541016, test loss 12.874848365783691, adv 0.01311906841339161, acc 0.034934497816593885
Epoch 17: train loss 18.358564376831055, test loss 12.874848365783691, adv 0.014247889374090272, acc 0.034934497816593885
Epoch 18: train loss 11.64964485168457, test loss 12.664422035217285, adv 0.013972925764192179, acc 0.035207423580786025
Epoch 19: train loss 15.21314525604248, test loss 12.664422035217285, adv 0.012281950509461348, acc 0.035207423580786025
model: 100, False, 16 begin
Epoch 0: train loss 3.70524263381958, test loss 3.9948055744171143, adv 0.007120596797671019, acc 0.09402292576419213
Epoch 1: train loss 3.2232666015625, test loss 3.5534348487854004, adv 0.0065685589519650645, acc 0.15065502183406113
Epoch 2: train loss 3.0754451751708984, test loss 3.4062843322753906, adv 0.001018995633187747, acc 0.20319323144104803
Epoch 3: train loss 3.7608654499053955, test loss 3.371892213821411, adv 0.005801892285298371, acc 0.20032751091703058
Epoch 4: train loss 3.318887233734131, test loss 3.168203830718994, adv 0.002741557496360958, acc 0.24918122270742357
Epoch 5: train loss 2.9456324577331543, test loss 3.1677825450897217, adv 0.007176928675400263, acc 0.26282751091703055
Epoch 6: train loss 2.5773017406463623, test loss 2.9861273765563965, adv 0.0049623726346433306, acc 0.2771561135371179
Epoch 7: train loss 2.651001214981079, test loss 2.9283459186553955, adv 0.0072850072780203945, acc 0.28725436681222705
Epoch 8: train loss 2.8369669914245605, test loss 2.869999408721924, adv 0.00677103347889374, acc 0.29626091703056767
Epoch 9: train loss 2.754939079284668, test loss 2.8398995399475098, adv 0.010072489082969427, acc 0.3033569868995633
Epoch 10: train loss 2.6524925231933594, test loss 2.8253533840179443, adv 0.010736972343522555, acc 0.3018558951965066
Epoch 11: train loss 2.3945114612579346, test loss 2.7742464542388916, adv 0.0037983988355167475, acc 0.3088155021834061
Epoch 12: train loss 2.5544652938842773, test loss 2.7758336067199707, adv 0.007353275109170332, acc 0.3197325327510917
Epoch 13: train loss 2.6810109615325928, test loss 2.8393185138702393, adv 0.013436098981077171, acc 0.3060862445414847
Epoch 14: train loss 2.1329538822174072, test loss 2.710451126098633, adv 0.0084980349344978, acc 0.3210971615720524
Epoch 15: train loss 2.452416181564331, test loss 2.7614269256591797, adv 0.014242430858806443, acc 0.3155021834061135
Epoch 16: train loss 3.2505991458892822, test loss 2.8352437019348145, adv 0.02757612809315868, acc 0.30472161572052403
Epoch 17: train loss 2.645545482635498, test loss 2.724954843521118, adv 0.023453930131004386, acc 0.3215065502183406
Epoch 18: train loss 2.6890175342559814, test loss 2.6029345989227295, adv 0.015250800582241597, acc 0.341839519650655
Epoch 19: train loss 3.287559747695923, test loss 2.5598700046539307, adv 0.018411062590975247, acc 0.3422489082969432
model: 100, 2, 16 begin
Epoch 0: train loss 4.4803547859191895, test loss 4.702708721160889, adv 0.01661120815138284, acc 0.06481986899563319
Epoch 1: train loss 4.580306529998779, test loss 4.591390132904053, adv 0.012072998544395974, acc 0.08610807860262008
Epoch 2: train loss 4.326354503631592, test loss 4.795638084411621, adv 0.0105664483260553, acc 0.08460698689956332
Epoch 3: train loss 4.449408054351807, test loss 4.795638084411621, adv 0.013179257641921405, acc 0.08460698689956332
Epoch 4: train loss 4.971404075622559, test loss 4.795638084411621, adv 0.0054245997088792075, acc 0.08460698689956332
Epoch 5: train loss 5.378945827484131, test loss 4.795638084411621, adv 0.005341266375545883, acc 0.08460698689956332
Epoch 6: train loss 5.563940525054932, test loss 4.795638084411621, adv 0.0041560407569141145, acc 0.08460698689956332
Epoch 7: train loss 4.53082275390625, test loss 4.795638084411621, adv 0.013088136826783114, acc 0.08460698689956332
Epoch 8: train loss 4.162739276885986, test loss 4.795638084411621, adv 0.013261426491994188, acc 0.08460698689956332
Epoch 9: train loss 5.194485187530518, test loss 5.0815277099609375, adv 0.009980349344978157, acc 0.08419759825327511
Epoch 10: train loss 5.130319595336914, test loss 5.0815277099609375, adv 0.009910917030567679, acc 0.08419759825327511
Epoch 11: train loss 4.87473201751709, test loss 5.0815277099609375, adv 0.01567831149927218, acc 0.08419759825327511
Epoch 12: train loss 4.556929588317871, test loss 5.0815277099609375, adv 0.013746797671033484, acc 0.08419759825327511
Epoch 13: train loss 5.262075901031494, test loss 5.0815277099609375, adv 0.007398617176127997, acc 0.08419759825327511
Epoch 14: train loss 4.279229164123535, test loss 5.0815277099609375, adv 0.014012081513828267, acc 0.08419759825327511
Epoch 15: train loss 5.640873432159424, test loss 5.0815277099609375, adv 0.00818537117903928, acc 0.08419759825327511
Epoch 16: train loss 5.057953357696533, test loss 5.41820764541626, adv 0.018336390101892253, acc 0.08351528384279476
Epoch 17: train loss 4.4062113761901855, test loss 5.41820764541626, adv 0.016854439592430825, acc 0.08351528384279476
Epoch 18: train loss 5.257426738739014, test loss 5.41820764541626, adv 0.015681004366812246, acc 0.08351528384279476
Epoch 19: train loss 5.783021926879883, test loss 5.41820764541626, adv 0.008875982532751125, acc 0.08351528384279476
model: 100, 5, 16 begin
Epoch 0: train loss 3.6761276721954346, test loss 3.5605504512786865, adv 0.0008583697234352261, acc 0.15966157205240175
Epoch 1: train loss 3.3632941246032715, test loss 3.5879733562469482, adv 0.015456695778748197, acc 0.17276200873362446
Epoch 2: train loss 4.137241840362549, test loss 3.8523223400115967, adv -0.007591994177583716, acc 0.15734170305676856
Epoch 3: train loss 5.499492168426514, test loss 4.159424304962158, adv -0.02240036390101885, acc 0.1486080786026201
Epoch 4: train loss 3.397754192352295, test loss 4.05440616607666, adv 0.011445123726346429, acc 0.1507914847161572
Epoch 5: train loss 3.2197935581207275, test loss 4.060972690582275, adv 0.008469213973799128, acc 0.1513373362445415
Epoch 6: train loss 3.608109951019287, test loss 3.903857469558716, adv 0.0009897379912663928, acc 0.154339519650655
Epoch 7: train loss 3.1122429370880127, test loss 3.8899240493774414, adv 0.011509461426492007, acc 0.15188318777292575
Epoch 8: train loss 4.555083274841309, test loss 4.02559232711792, adv -0.007562299854439569, acc 0.14888100436681223
Epoch 9: train loss 3.745194673538208, test loss 4.081240653991699, adv -0.005426346433770046, acc 0.14778930131004367
Epoch 10: train loss 3.4267117977142334, test loss 4.050356388092041, adv 0.0032216157205240403, acc 0.14888100436681223
Epoch 11: train loss 4.523943901062012, test loss 4.119229793548584, adv -0.009359606986899527, acc 0.1472434497816594
Epoch 12: train loss 4.729870796203613, test loss 4.186634063720703, adv -0.011164483260553082, acc 0.1457423580786026
Epoch 13: train loss 3.872997760772705, test loss 4.2126054763793945, adv -0.0063359534206696155, acc 0.14642467248908297
Epoch 14: train loss 5.245579242706299, test loss 4.258594036102295, adv -0.015369868995633196, acc 0.14601528384279475
Epoch 15: train loss 5.065405368804932, test loss 4.281663417816162, adv -0.012593813682678312, acc 0.1462882096069869
Epoch 16: train loss 3.985053300857544, test loss 4.359567642211914, adv -0.00473595342066957, acc 0.1453329694323144
Epoch 17: train loss 3.267305374145508, test loss 4.365666389465332, adv 0.004328384279475961, acc 0.14546943231441048
Epoch 18: train loss 4.42509651184082, test loss 4.37897253036499, adv -0.009783915574963609, acc 0.14546943231441048
Epoch 19: train loss 4.856504440307617, test loss 4.4891204833984375, adv -0.012364628820960677, acc 0.1457423580786026
model: 100, 10, 16 begin
Epoch 0: train loss 4.9986395835876465, test loss 4.422910690307617, adv 0.014510334788937373, acc 0.08856441048034934
Epoch 1: train loss 4.006484508514404, test loss 4.422910690307617, adv 0.021554949053857353, acc 0.08856441048034934
Epoch 2: train loss 4.494233131408691, test loss 4.422910690307617, adv 0.022990393013100463, acc 0.08856441048034934
Epoch 3: train loss 4.671465873718262, test loss 4.660096168518066, adv 0.0279697962154295, acc 0.0751910480349345
Epoch 4: train loss 5.304913520812988, test loss 5.071034908294678, adv 0.028776855895196518, acc 0.0611353711790393
Epoch 5: train loss 5.573424816131592, test loss 5.071034908294678, adv 0.02358282387190691, acc 0.0611353711790393
Epoch 6: train loss 5.736238956451416, test loss 5.071034908294678, adv 0.023293595342066986, acc 0.0611353711790393
Epoch 7: train loss 4.54514217376709, test loss 5.071034908294678, adv 0.02718304221251816, acc 0.0611353711790393
Epoch 8: train loss 5.469454765319824, test loss 5.071034908294678, adv 0.024901018922852902, acc 0.0611353711790393
Epoch 9: train loss 4.451207637786865, test loss 5.071034908294678, adv 0.028665938864628815, acc 0.0611353711790393
Epoch 10: train loss 5.337618827819824, test loss 5.071034908294678, adv 0.02832772925764193, acc 0.0611353711790393
Epoch 11: train loss 4.1991119384765625, test loss 5.071034908294678, adv 0.024847379912663725, acc 0.0611353711790393
Epoch 12: train loss 5.883995532989502, test loss 5.071034908294678, adv 0.023969068413391525, acc 0.0611353711790393
Epoch 13: train loss 4.792304992675781, test loss 5.071034908294678, adv 0.02768260553129548, acc 0.0611353711790393
Epoch 14: train loss 4.7503485679626465, test loss 5.071034908294678, adv 0.029322489082969472, acc 0.0611353711790393
Epoch 15: train loss 5.145906925201416, test loss 5.071034908294678, adv 0.02907241630276569, acc 0.0611353711790393
Epoch 16: train loss 5.249988555908203, test loss 5.071034908294678, adv 0.02803959243085885, acc 0.0611353711790393
Epoch 17: train loss 5.028641700744629, test loss 5.071034908294678, adv 0.029949053857350805, acc 0.0611353711790393
Epoch 18: train loss 4.759762763977051, test loss 5.071034908294678, adv 0.029824526928675432, acc 0.0611353711790393
Epoch 19: train loss 3.918351173400879, test loss 5.071034908294678, adv 0.023277802037845685, acc 0.0611353711790393
model: 1000, False, 16 begin
Epoch 0: train loss 2.7735424041748047, test loss 2.916191816329956, adv 0.0003294032023289928, acc 0.27388100436681223
Epoch 1: train loss 2.1452853679656982, test loss 2.899277687072754, adv 0.009311644832605492, acc 0.2865720524017467
Epoch 2: train loss 2.922977924346924, test loss 2.757875919342041, adv 0.01064039301310038, acc 0.30431222707423583
Epoch 3: train loss 2.856109142303467, test loss 2.799669027328491, adv 0.021814701601164443, acc 0.3078602620087336
Epoch 4: train loss 2.5653018951416016, test loss 2.879070997238159, adv 0.022428238719068405, acc 0.2943504366812227
Epoch 5: train loss 3.0220136642456055, test loss 3.357475996017456, adv 0.04417510917030565, acc 0.2214792576419214
Epoch 6: train loss 2.415109157562256, test loss 2.9918057918548584, adv 0.022522925764192125, acc 0.2838427947598253
Epoch 7: train loss 3.5230696201324463, test loss 2.851057291030884, adv 0.029908660844250368, acc 0.2965338427947598
Epoch 8: train loss 2.563126564025879, test loss 2.6816675662994385, adv 0.006579767103347844, acc 0.2992631004366812
Epoch 9: train loss 2.391592502593994, test loss 2.623170852661133, adv 0.014429548762736555, acc 0.32710152838427947
Epoch 10: train loss 2.3543906211853027, test loss 2.6091694831848145, adv 0.0153059679767103, acc 0.3256004366812227
Epoch 11: train loss 2.2027640342712402, test loss 2.547714948654175, adv 0.010639228529839895, acc 0.33747270742358076
Epoch 12: train loss 2.9276695251464844, test loss 2.9430201053619385, adv 0.04260931586608441, acc 0.2939410480349345
Epoch 13: train loss 2.7803101539611816, test loss 2.6108553409576416, adv 0.022796724890829734, acc 0.32450873362445415
Epoch 14: train loss 2.2426486015319824, test loss 2.6126933097839355, adv 0.014131368267831124, acc 0.32819323144104806
Epoch 15: train loss 2.299586057662964, test loss 2.623929500579834, adv 0.011172197962154296, acc 0.32641921397379914
Epoch 16: train loss 2.712101697921753, test loss 2.605180501937866, adv 0.012756841339155778, acc 0.3337882096069869
Epoch 17: train loss 2.5571441650390625, test loss 3.097478151321411, adv 8.886462882096158e-05, acc 0.2697871179039301
Epoch 18: train loss 3.477174997329712, test loss 2.9058544635772705, adv 0.015100072780203755, acc 0.28957423580786024
Epoch 19: train loss 3.451089382171631, test loss 3.671412944793701, adv 0.01311703056768554, acc 0.2585971615720524
model: 1000, 2, 16 begin
Epoch 0: train loss 4.623824596405029, test loss 4.50056791305542, adv -0.0060925764192139575, acc 0.045987991266375546
Epoch 1: train loss 4.655052185058594, test loss 4.686871528625488, adv -0.003487627365356627, acc 0.03411572052401747
Epoch 2: train loss 4.377316951751709, test loss 4.686871528625488, adv 0.004177729257641927, acc 0.03411572052401747
Epoch 3: train loss 4.78640079498291, test loss 4.686871528625488, adv -0.008374017467248918, acc 0.03411572052401747
Epoch 4: train loss 4.44183349609375, test loss 4.6484551429748535, adv 0.0017427219796215532, acc 0.0339792576419214
Epoch 5: train loss 4.719689846038818, test loss 4.6484551429748535, adv -0.007482168850072746, acc 0.0339792576419214
Epoch 6: train loss 4.557868957519531, test loss 4.6484551429748535, adv -0.0013528384279475891, acc 0.0339792576419214
Epoch 7: train loss 5.197937965393066, test loss 4.6484551429748535, adv -0.019554002911208124, acc 0.0339792576419214
Epoch 8: train loss 4.530373573303223, test loss 4.6484551429748535, adv -0.0011068413391557286, acc 0.0339792576419214
Epoch 9: train loss 4.840890884399414, test loss 4.6484551429748535, adv -0.011621688500727756, acc 0.0339792576419214
Epoch 10: train loss 4.631497383117676, test loss 4.6484551429748535, adv -0.003113755458515277, acc 0.0339792576419214
Epoch 11: train loss 5.370339393615723, test loss 4.6484551429748535, adv -0.024599272197962097, acc 0.0339792576419214
Epoch 12: train loss 4.916433334350586, test loss 4.6484551429748535, adv -0.012425400291120714, acc 0.0339792576419214
Epoch 13: train loss 4.221160411834717, test loss 4.6484551429748535, adv 0.012277802037845731, acc 0.0339792576419214
Epoch 14: train loss 4.678020477294922, test loss 4.6484551429748535, adv -0.005813100436681207, acc 0.0339792576419214
Epoch 15: train loss 5.430720329284668, test loss 4.6484551429748535, adv -0.027556040756914202, acc 0.0339792576419214
Epoch 16: train loss 3.8995752334594727, test loss 4.6484551429748535, adv 0.01651797671033478, acc 0.0339792576419214
Epoch 17: train loss 4.54813289642334, test loss 4.6484551429748535, adv -0.0010621542940320583, acc 0.0339792576419214
Epoch 18: train loss 4.566076755523682, test loss 4.6484551429748535, adv -0.0017768558951964941, acc 0.0339792576419214
Epoch 19: train loss 4.072323322296143, test loss 4.6484551429748535, adv 0.0163059679767103, acc 0.0339792576419214
model: 1000, 5, 16 begin
Epoch 0: train loss 4.052944660186768, test loss 3.6242663860321045, adv -0.007712445414847169, acc 0.1566593886462882
Epoch 1: train loss 3.0910606384277344, test loss 3.7306058406829834, adv 0.00814796215429403, acc 0.19677947598253276
Epoch 2: train loss 3.4331271648406982, test loss 4.114597797393799, adv 0.011574818049490565, acc 0.17972161572052403
Epoch 3: train loss 4.324939250946045, test loss 4.495368957519531, adv 0.01660342066957793, acc 0.16798580786026202
Epoch 4: train loss 3.0832715034484863, test loss 4.495368957519531, adv 0.010048908296943215, acc 0.16798580786026202
Epoch 5: train loss 2.811006546020508, test loss 4.138986587524414, adv 0.00880305676855897, acc 0.17903930131004367
Epoch 6: train loss 3.391570806503296, test loss 3.956051826477051, adv 0.010966375545851503, acc 0.18463427947598254
Epoch 7: train loss 2.904233932495117, test loss 2.711127996444702, adv 0.006202765647743802, acc 0.31345524017467247
Epoch 8: train loss 3.0399858951568604, test loss 3.8471195697784424, adv -0.01143369723435228, acc 0.2115174672489083
Epoch 9: train loss 2.7669074535369873, test loss 3.0277798175811768, adv 0.020739374090247453, acc 0.28125
Epoch 10: train loss 2.399512529373169, test loss 3.008655071258545, adv 0.02984650655021831, acc 0.26746724890829693
Epoch 11: train loss 3.031998872756958, test loss 3.073364496231079, adv 0.029356259097525483, acc 0.28220524017467247
Epoch 12: train loss 3.3954577445983887, test loss 4.191020965576172, adv 0.03299687045123728, acc 0.18436135371179038
Epoch 13: train loss 3.4004909992218018, test loss 4.261950492858887, adv 0.03405553129548761, acc 0.17972161572052403
Epoch 14: train loss 3.249082088470459, test loss 4.261950492858887, adv 0.03316346433770012, acc 0.17972161572052403
Epoch 15: train loss 3.383918046951294, test loss 4.261950492858887, adv 0.034088937409024744, acc 0.17972161572052403
Epoch 16: train loss 3.568742513656616, test loss 4.261950492858887, adv 0.033241193595342056, acc 0.17972161572052403
Epoch 17: train loss 4.0868120193481445, test loss 4.261950492858887, adv 0.036039665211062555, acc 0.17972161572052403
Epoch 18: train loss 3.9032747745513916, test loss 4.126567840576172, adv 0.03615247452692866, acc 0.1851801310043668
Epoch 19: train loss 3.2135565280914307, test loss 4.126567840576172, adv 0.034840247452692874, acc 0.1851801310043668
model: 1000, 10, 16 begin
Epoch 0: train loss 3.5459446907043457, test loss 4.473857402801514, adv 0.013441266375545824, acc 0.16703056768558952
Epoch 1: train loss 5.3682332038879395, test loss 5.0316057205200195, adv 0.03123020378457053, acc 0.15365720524017468
Epoch 2: train loss 5.728927135467529, test loss 5.0316057205200195, adv 0.034528966521106264, acc 0.15365720524017468
Epoch 3: train loss 4.992087364196777, test loss 5.0316057205200195, adv 0.03277227074235811, acc 0.15365720524017468
Epoch 4: train loss 4.578850746154785, test loss 5.0316057205200195, adv 0.02712263464337694, acc 0.15365720524017468
Epoch 5: train loss 6.090574264526367, test loss 5.205678462982178, adv 0.03517634643376999, acc 0.15338427947598254
Epoch 6: train loss 4.3433518409729, test loss 5.563398838043213, adv 0.018751018922853024, acc 0.15338427947598254
